,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (%)
1007,ibicui,br,-15.0,-40,68.0,96.0,92.0,1.0
5849,millinocket,us,46.0,-69,30.0,88.0,90.0,3.0
7556,megion,ru,60.0,76,-20.0,75.0,40.0,2.0
374,botshabelo,za,-29.0,27,59.0,77.0,0.0,5.0
3874,port lavaca,us,28.0,-96,59.0,48.0,1.0,6.0
6374,rzhyshchiv,ua,50.0,31,32.0,100.0,90.0,2.0
1516,barranca,pe,-5.0,-77,63.0,100.0,24.0,10.0
3989,uch,pk,29.0,71,41.0,100.0,88.0,5.0
1929,anisoc,gq,2.0,11,69.0,98.0,24.0,2.0
1446,olmos,pe,-6.0,-80,71.0,67.0,80.0,2.0
4493,tucumcari,us,35.0,-104,32.0,46.0,1.0,6.0
1094,nuevo imperial,pe,-13.0,-76,58.0,92.0,64.0,3.0
7572,lavrentiya,ru,61.0,-170,24.0,100.0,88.0,34.0
700,fianarantsoa,mg,-21.0,47,61.0,88.0,24.0,2.0
3581,banda,in,24.0,79,65.0,65.0,0.0,3.0
6541,balyaga,ru,51.0,109,12.0,50.0,8.0,8.0
1527,crateus,br,-5.0,-41,70.0,91.0,80.0,1.0
507,maltahohe,na,-25.0,16,63.0,71.0,80.0,3.0
3576,salumbar,in,24.0,74,66.0,50.0,0.0,6.0
3901,ubauro,pk,28.0,70,60.0,85.0,0.0,7.0
1375,tulungagung,id,-8.0,112,83.0,84.0,8.0,4.0
2007,bintulu,my,3.0,113,87.0,70.0,75.0,3.0
7553,nefteyugansk,ru,60.0,73,-16.0,75.0,75.0,3.0
7123,belyy,ru,56.0,33,16.0,76.0,36.0,6.0
5853,amherst,ca,46.0,-64,30.0,86.0,90.0,10.0
7027,gagino,ru,55.0,45,18.0,87.0,88.0,3.0
6735,boston,gb,53.0,0,41.0,88.0,90.0,3.0
1463,colinas,br,-6.0,-44,74.0,91.0,88.0,2.0
6633,rzhaksa,ru,52.0,42,22.0,94.0,92.0,5.0
6135,krasnoarmeysk,ua,48.0,37,26.0,86.0,90.0,6.0
2214,pandan niog,ph,6.0,120,85.0,97.0,20.0,7.0
3722,saint george,bm,26.0,-59,51.0,100.0,90.0,4.0
2518,goundi,td,10.0,18,65.0,64.0,32.0,2.0
97,valdivia,cl,-40.0,-76,50.0,81.0,0.0,4.0
4719,alamosa,us,37.0,-106,17.0,55.0,1.0,4.0
7760,olden,no,64.0,10,2.0,87.0,0.0,1.0
1994,moyale,ke,3.0,39,65.0,96.0,56.0,3.0
6184,pincher creek,ca,49.0,-114,35.0,55.0,75.0,26.0
6515,lisakovsk,kz,51.0,63,22.0,79.0,68.0,6.0
7321,lyngdal,no,58.0,7,23.0,85.0,0.0,5.0
1093,mala,pe,-13.0,-77,61.0,100.0,48.0,7.0
5471,rockland,us,43.0,-69,42.0,88.0,90.0,3.0
5192,miyako,jp,40.0,142,59.0,72.0,75.0,4.0
6505,yelan,ru,51.0,44,20.0,90.0,88.0,6.0
3281,guantanamo,cu,20.0,-75,72.0,97.0,48.0,1.0
3483,nuevo progreso,mx,23.0,-97,69.0,26.0,1.0,13.0
1380,tual,id,-8.0,130,84.0,100.0,64.0,8.0
5713,alpena,us,45.0,-84,32.0,74.0,90.0,3.0
7537,raduzhnyy,ru,60.0,50,-15.0,69.0,32.0,3.0
3398,ishigaki,jp,21.0,126,77.0,65.0,75.0,4.0
7628,kysyl-syr,ru,61.0,123,-26.0,81.0,56.0,2.0
6399,atbasar,kz,50.0,68,19.0,87.0,80.0,16.0
7852,zelenoborskiy,ru,66.0,32,21.0,77.0,8.0,7.0
2081,villanueva,co,5.0,-72,78.0,67.0,64.0,1.0
3954,bay city,us,29.0,-96,36.0,72.0,90.0,5.0
1808,simpang,id,-1.0,104,86.0,70.0,75.0,4.0
7681,nyagan,ru,62.0,65,-10.0,70.0,32.0,3.0
7312,hofn,is,58.0,-16,33.0,100.0,12.0,3.0
3269,zacatlan,mx,20.0,-98,49.0,80.0,0.0,1.0
7847,tornio,fi,66.0,24,22.0,92.0,90.0,5.0
6027,dubovskoye,ru,47.0,43,19.0,90.0,68.0,3.0
870,atuona,pf,-17.0,-141,79.0,100.0,68.0,10.0
2292,phan thiet,vn,7.0,110,76.0,100.0,92.0,12.0
921,mareeba,au,-17.0,142,95.0,53.0,20.0,17.0
5468,bennington,us,43.0,-73,36.0,95.0,90.0,3.0
1688,misasi,tz,-3.0,33,68.0,72.0,20.0,11.0
226,oudtshoorn,za,-34.0,22,64.0,93.0,75.0,2.0
6534,balgazyn,ru,51.0,95,2.0,42.0,36.0,3.0
7732,rochegda,ru,63.0,43,24.0,94.0,80.0,2.0
2257,gboko,ng,7.0,9,68.0,79.0,0.0,4.0
7040,turgoyak,ru,55.0,60,11.0,87.0,20.0,4.0
4513,rock hill,us,35.0,-81,46.0,100.0,20.0,4.0
5303,yebaishou,cn,41.0,120,47.0,48.0,56.0,13.0
7172,yurga,ru,56.0,85,12.0,80.0,64.0,8.0
956,pedra azul,br,-16.0,-41,68.0,69.0,92.0,3.0
6994,logumkloster,dk,55.0,9,33.0,92.0,0.0,2.0
7439,ustyuzhna,ru,59.0,36,25.0,83.0,80.0,7.0
5151,erzincan,tr,40.0,39,33.0,94.0,75.0,1.0
7575,brae,gb,61.0,-3,43.0,75.0,0.0,9.0
4058,do gonbadan,ir,30.0,51,48.0,93.0,0.0,0.0
3906,narnaul,in,28.0,76,57.0,63.0,0.0,2.0
4718,aztec,us,37.0,-108,28.0,34.0,1.0,5.0
7215,thyboron,dk,57.0,8,35.0,100.0,0.0,8.0
4490,south valley,us,35.0,-107,28.0,23.0,1.0,3.0
793,ongandjera,na,-19.0,15,63.0,93.0,0.0,6.0
4607,enid,us,36.0,-98,30.0,52.0,1.0,11.0
5269,safranbolu,tr,41.0,33,26.0,79.0,0.0,1.0
200,deniliquin,au,-35.0,145,75.0,47.0,0.0,6.0
1831,anloga,gh,0.0,2,82.0,88.0,20.0,8.0
6911,veshkayma,ru,54.0,47,17.0,80.0,80.0,5.0
4144,turayf,sa,31.0,38,46.0,100.0,0.0,4.0
287,perth,au,-32.0,116,37.0,87.0,75.0,11.0
6348,gedinne,be,50.0,5,37.0,100.0,80.0,8.0
6413,priargunsk,ru,50.0,119,20.0,55.0,20.0,22.0
2909,tres picos,mx,15.0,-94,77.0,69.0,40.0,6.0
3087,freetown,ag,17.0,-61,78.0,100.0,20.0,6.0
7831,zhigansk,ru,65.0,125,-29.0,0.0,12.0,8.0
1038,macusani,pe,-14.0,-70,51.0,100.0,64.0,1.0
5200,evanston,us,41.0,-111,34.0,92.0,90.0,25.0
3526,gejiu,cn,23.0,103,56.0,83.0,0.0,2.0
6330,sioux lookout,ca,50.0,-92,8.0,72.0,75.0,12.0
6651,krasnoyarskiy,ru,52.0,60,25.0,89.0,88.0,6.0
4069,khangarh,pk,30.0,71,58.0,89.0,8.0,2.0
7381,kolpashevo,ru,58.0,83,-1.0,69.0,44.0,7.0
6449,gimli,ca,51.0,-98,9.0,69.0,56.0,11.0
1475,loandjili,cg,-6.0,10,78.0,94.0,75.0,5.0
443,deneysville,za,-27.0,28,58.0,100.0,32.0,7.0
4373,yucaipa,us,34.0,-117,64.0,35.0,1.0,4.0
95,takapau,nz,-41.0,177,55.0,97.0,100.0,12.0
7665,petrozavodsk,ru,62.0,35,23.0,79.0,0.0,8.0
5065,dandong,cn,39.0,124,45.0,75.0,0.0,3.0
36,necochea,ar,-54.0,-51,55.0,71.0,0.0,9.0
6212,baie-comeau,ca,49.0,-68,28.0,92.0,90.0,2.0
2553,suba,ph,10.0,121,50.0,96.0,92.0,2.0
6806,topchikha,ru,53.0,83,16.0,87.0,48.0,16.0
7229,tukums,lv,57.0,23,26.0,100.0,75.0,5.0
2988,san narciso,ph,15.0,120,86.0,52.0,20.0,13.0
5223,hazleton,us,41.0,-76,35.0,100.0,40.0,1.0
4482,barstow,us,35.0,-117,41.0,36.0,1.0,4.0
982,coracora,pe,-15.0,-74,31.0,83.0,0.0,2.0
2403,mambolo,sl,9.0,-13,78.0,83.0,40.0,2.0
7408,lerwick,gb,59.0,1,42.0,75.0,88.0,9.0
1138,port moresby,pg,-13.0,146,95.0,47.0,40.0,17.0
5152,bayburt,tr,40.0,40,24.0,100.0,68.0,3.0
6112,vorchdorf,at,48.0,14,39.0,100.0,75.0,2.0
6503,uryupinsk,ru,51.0,42,22.0,95.0,92.0,6.0
1571,ambunti,pg,-5.0,142,83.0,80.0,48.0,1.0
2291,vung tau,vn,7.0,109,75.0,94.0,90.0,10.0
1501,jati,id,-6.0,111,63.0,84.0,76.0,2.0
653,moranbah,au,-22.0,147,97.0,15.0,0.0,10.0
5357,valladolid,es,42.0,-5,39.0,90.0,32.0,16.0
4427,yabrud,sy,34.0,37,50.0,93.0,0.0,11.0
5817,lewiston,us,46.0,-117,33.0,96.0,90.0,6.0
